fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
5.0;0.38;0.01;1.6;0.048;26.0;60.0;0.99084;3.7;0.75;14.0;6.0
5.1;0.47;0.02;1.3;0.034;18.0;44.0;0.9921;3.9;0.62;12.8;6.0
5.2;0.32;0.25;1.8;0.103;13.0;50.0;0.9957;3.38;0.55;9.2;5.0
5.2;0.645;0.0;2.15;0.08;15.0;28.0;0.99444;3.78;0.61;12.5;6.0
5.4;0.58;0.08;1.9;0.059;20.0;31.0;0.99484;3.5;0.64;10.2;6.0
5.5;0.49;0.03;1.8;0.044;28.0;87.0;0.9908;3.5;0.82;14.0;8.0
5.6;0.54;0.04;1.7;0.049;5.0;13.0;0.9942;3.72;0.58;11.4;5.0
5.6;0.915;0.0;2.1;0.041;17.0;78.0;0.99346;3.68;0.73;11.4;5.0
5.9;0.44;0.0;1.6;0.042;3.0;11.0;0.9944;3.48;0.85;11.7;6.0
5.9;0.46;0.0;1.9;0.077;25.0;44.0;0.99385;3.5;0.53;11.2;5.0
5.9;0.55;0.1;2.2;0.062;39.0;51.0;0.99512;3.52;0.76;11.2;6.0
5.9;0.61;0.08;2.1;0.071;16.0;24.0;0.99376;3.56;0.77;11.1;6.0
6.0;0.31;0.47;3.6;0.067;18.0;42.0;0.99549;3.39;0.66;11.0;6.0
6.0;0.5;0.0;1.4;0.057;15.0;26.0;0.99448;3.36;0.45;9.5;5.0
6.0;0.64;0.05;1.9;0.066;9.0;17.0;0.99496;3.52;0.78;10.6;5.0
6.1;0.4;0.16;1.8;0.069;11.0;25.0;0.9955;3.42;0.74;10.1;7.0
6.1;0.705;0.1;2.8;0.081;13.0;28.0;0.99631;3.6;0.66;10.2;5.0
6.3;0.47;0.0;1.4;0.055;27.0;33.0;0.9922;3.45;0.48;12.3;6.0
6.4;0.37;0.25;1.9;0.074;21.0;49.0;0.9974;3.57;0.62;9.8;6.0
6.4;0.42;0.09;2.3;0.054;34.0;64.0;0.99724;3.41;0.68;10.4;6.0
6.4;0.47;0.4;2.4;0.071;8.0;19.0;0.9963;3.56;0.73;10.6;6.0
6.4;0.53;0.09;3.9;0.123;14.0;31.0;0.9968;3.5;0.67;11.0;4.0
6.5;0.51;0.15;3.0;0.064;12.0;27.0;0.9929;3.33;0.59;12.8;6.0
6.5;0.53;0.06;2.0;0.063;29.0;44.0;0.99489;3.38;0.83;10.3;6.0
6.6;0.61;0.0;1.6;0.069;4.0;8.0;0.99396;3.33;0.37;10.4;4.0
6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9962;3.44;0.58;10.7;5.0
6.6;0.735;0.02;7.9;0.122;68.0;124.0;0.9994;3.47;0.53;9.9;5.0
6.6;0.84;0.03;2.3;0.059;32.0;48.0;0.9952;3.52;0.56;12.3;7.0
6.6;0.855;0.02;2.4;0.062;15.0;23.0;0.99627;3.54;0.6;11.0;6.0
6.7;0.48;0.08;2.1;0.064;18.0;34.0;0.99552;3.33;0.64;9.7;5.0
6.7;0.64;0.23;2.1;0.08;11.0;119.0;0.99538;3.36;0.7;10.9;5.0
6.8;0.48;0.08;1.8;0.074;40.0;64.0;0.99529;3.12;0.49;9.6;5.0
6.8;0.59;0.06;6.0;0.06;11.0;18.0;0.9962;3.41;0.59;10.8;7.0
6.8;0.63;0.07;2.1;0.089;11.0;44.0;0.9953;3.47;0.55;10.4;6.0
6.8;0.64;0.1;2.1;0.085;18.0;101.0;0.9956;3.34;0.52;10.2;5.0
6.8;0.91;0.06;2.0;0.06;4.0;11.0;0.99592;3.53;0.64;10.9;4.0
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;5.0
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;5.0
6.9;0.58;0.01;1.9;0.08;40.0;54.0;0.99683;3.4;0.73;9.7;5.0
6.9;0.605;0.12;10.7;0.073;40.0;83.0;0.9993;3.45;0.52;9.4;6.0
6.9;0.63;0.02;1.9;0.078;18.0;30.0;0.99712;3.4;0.75;9.8;5.0
6.9;0.635;0.17;2.4;0.241;6.0;18.0;0.9961;3.4;0.59;10.3;6.0
7.0;0.49;0.49;5.6;0.06;26.0;121.0;0.9974;3.34;0.76;10.5;5.0
7.0;0.54;0.0;2.1;0.079;39.0;55.0;0.9956;3.39;0.84;11.4;6.0
7.0;0.54;0.09;2.0;0.081;10.0;16.0;0.99479;3.43;0.59;11.5;6.0
7.0;0.57;0.0;2.0;0.19;12.0;45.0;0.99676;3.31;0.6;9.4;6.0
7.0;0.58;0.12;1.9;0.091;34.0;124.0;0.9956;3.44;0.48;10.5;5.0
7.0;0.655;0.16;2.1;0.074;8.0;25.0;0.99606;3.37;0.55;9.7;5.0
7.0;0.685;0.0;1.9;0.099;9.0;22.0;0.99606;3.34;0.6;9.7;5.0
7.1;0.16;0.44;2.5;0.068;17.0;31.0;0.99328;3.35;0.54;12.4;6.0
